Unnamed: 0,SPE,Mean,STD,SKEW,KURT,target
0,3.565552676022894,0.03872065229304655,0.0570262491513728,0.0005810541115570054,0.00012906042329860438,3
1,3.7398464193998624,0.041325292201390314,0.04289480709965431,0.0001452841864660775,1.9640156706035e-05,3
2,3.8460915380192096,0.04014394305908931,0.034781350270526167,6.158569535701261e-05,7.375659361251457e-06,3
3,3.950403489483743,0.038838669629017115,0.027230397169298173,2.1981025662173665e-05,1.7389651254085988e-06,3
4,3.842522000293615,0.039375262483526005,0.03313856969504796,3.7203029124184146e-05,3.632107829692344e-06,3
5,3.735823017509611,0.0325554350372143,0.03176611322154612,3.483385660631077e-05,3.040231759569323e-06,3
6,3.882519212098132,0.040502638329585484,0.0330263706699315,5.419326186423482e-05,6.25828219169891e-06,3
7,3.8012058074716,0.037085313189412654,0.03823432384008979,0.0001260471047355791,1.5378716538913707e-05,3
8,3.784961116336533,0.03876459253336344,0.04265065229877883,0.00023446672696111803,4.0651268197334994e-05,3
9,3.8131433996271467,0.03938737097319132,0.038064675282236136,0.00011698712493345464,1.633853093788715e-05,3
10,3.839288785327213,0.03954164649517735,0.03501687286317278,6.233722327904186e-05,6.658758270380868e-06,3
11,3.968641006365353,0.03965180522762248,0.02637634008456769,1.722611145771966e-05,1.325501544733755e-06,3
12,3.577677833922092,0.039557303418624915,0.054252434502072365,0.0004512045169215993,9.431591700266795e-05,3
13,3.741942518525057,0.03935668470323829,0.04157268017721619,0.00012598421235955504,1.4917356717960065e-05,3
14,3.786332296830732,0.03836841838484362,0.03738867700437027,8.348898752783427e-05,9.083831973467034e-06,3
15,4.000879740075414,0.04092344448952638,0.02584611470093651,2.5437716183706544e-05,2.252357363905624e-06,3
16,3.809830396881449,0.03970327078725764,0.037152962698992535,7.933917855623345e-05,8.869992824539889e-06,3
17,3.8744158312555808,0.03955461261617207,0.032716454780478244,4.654127602372821e-05,4.928617877181705e-06,3
18,3.7199055630164506,0.03850874177387798,0.03600434693923284,2.9902223679619416e-05,3.521129303262696e-06,3
19,3.987538717879109,0.04120753590569008,0.02714715864252569,3.0460865966663885e-05,2.766119625722064e-06,3
20,3.883206777620375,0.038878353906764106,0.031815233417815225,4.197734327948771e-05,3.737627655258683e-06,3
21,3.825922011082144,0.03920160321789559,0.03559403000450606,6.978248062104626e-05,7.501435485740745e-06,3
22,3.9587424660770636,0.03857477511942228,0.02654827521099813,1.989786123480827e-05,1.5083463148452024e-06,3
23,3.794086697665177,0.03929412220507125,0.03947027942314897,0.0001378354035221543,1.9937100283557936e-05,3
